Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015646+NH4116.0608	N/A	N/A	N/A
HMDB0015646+NH4117.0694	N/A	N/A	N/A
HMDB0015646+NH4121.0638	0.104537236	N/A	N/A
HMDB0015646+NH4145.0634	N/A	0.113439387	0.131714819
HMDB0015646+NH4204.1155	0.139122788	0.173473406	0.084486198
HMDB0015646+NH4201.1265	N/A	N/A	N/A
HMDB0015646+NH4115.0539	0.081338938	N/A	N/A
HMDB0015646+NH4133.064	N/A	N/A	N/A
HMDB0015646+NH4131.0484	N/A	N/A	N/A
HMDB0015646+NH4129.0691	N/A	N/A	N/A
HMDB0015646+NH4107.049	N/A	N/A	N/A
HMDB0015646+NH4134.0674	0.081836624	0.087963278	N/A
HMDB0015646+NH4145.0635	N/A	0.114304564	0.131233402
HMDB0015646+NH4169.0742	0.110731674	N/A	N/A
HMDB0015646+NH4133.0639	N/A	N/A	N/A
HMDB0015646+NH4132.0556	N/A	N/A	0.079519074
HMDB0015646+NH4127.0538	N/A	0.089877564	N/A
HMDB0015646+NH4155.0595	0.090794897	N/A	0.091425238
HMDB0015646+NH4144.0557	N/A	N/A	N/A
HMDB0015646+NH4149.0822	0.148628569	0.113700236	0.07940689
HMDB0015646+NH4147.0791	0.09170966	N/A	N/A
HMDB0015646+NH4134.0671	0.08247502	0.087293482	N/A
HMDB0015646+NH4144.056	N/A	N/A	N/A
HMDB0015646+NH4141.0692	N/A	0.124117896	N/A
HMDB0015646+NH4157.063	N/A	N/A	N/A
HMDB0015636+NH4154.077881	0.214571505	0.08492321	0.122617723
HMDB0015636+NH4155.085388	0.104244684	N/A	N/A
HMDB0015636+NH4186.100128	0.091296552	N/A	N/A
HMDB0015636+NH4185.097229	0.115305297	N/A	0.120322392
HMDB0015636+NH4153.070602	0.071157595	N/A	N/A
HMDB0015636+NH4202.122681	0.09596249	N/A	N/A
HMDB0015636+NH4_B	0.090999759	0.083572916	0.128644862
HMDB0015636+NH4170.073318	0.123228031	0.087247133	0.123089651
HMDB0015636+NH4244.133301	0.12666796	N/A	0.093295804
HMDB0015636+H153.070602	0.132137019	0.088297198	N/A
HMDB0015636+H185.097229	N/A	0.105008494	N/A
HMDB0015636+H_B	0.101518387	N/A	0.077819898
HMDB0015636+H186.100128	N/A	N/A	0.116937543
HMDB0015636+H202.122681	0.091994303	N/A	N/A
HMDB0015636+H155.085388	0.103722937	N/A	N/A
HMDB0015636+H170.073318	0.116710469	0.086435511	0.100405173
HMDB0015636+H244.133301	0.101270213	N/A	N/A
HMDB0015636+H154.077881	0.094559625	N/A	N/A
HMDB0015633+K66.0464	0.089794963	N/A	0.081530673
HMDB0015633+K168.0114	N/A	N/A	N/A
HMDB0015633+K149.0472	N/A	0.103265289	N/A
HMDB0015633+K132.008	N/A	0.077135751	0.083333436
HMDB0015633+K196.007187	N/A	N/A	N/A
HMDB0015633+K370.818146	N/A	N/A	N/A
HMDB0015633+K147.0315	0.092777436	N/A	N/A
HMDB0015633+K140.0165	0.124040125	0.189103544	0.092550889
HMDB0015633+K124.0393	0.091275021	0.103782067	0.083569123
HMDB0015633+K177.9957	N/A	N/A	N/A
HMDB0015633+K122.0363	N/A	0.10808633	0.086179902
HMDB0015633+K121.0522	0.107417412	0.108493903	0.101350414
HMDB0015633+K112.1121	N/A	N/A	N/A
HMDB0015633+K110.0059	N/A	0.081538254	N/A
HMDB0015633+K107.9902	0.119293386	N/A	N/A
HMDB0015633+K242.0481	0.084936001	N/A	N/A
HMDB0015633+K138.0186	0.076864645	0.08444457	N/A
HMDB0015633+K84.0808	N/A	0.089689657	0.09094243
HMDB0015633+K186.0228	N/A	0.087718604	0.081521347
HMDB0015633+K196.0064	N/A	N/A	N/A
HMDB0015633+K138.0187	0.076827815	0.083172346	N/A
HMDB0015633+K121.0523	0.107853565	0.1085379	0.102001083
HMDB0015633+K110.0058	N/A	0.081538254	N/A
HMDB0015633+K108.0444	0.085484619	0.092379374	0.092189995
HMDB0015633+K93.0572	0.159626696	0.100592279	0.121279878
HMDB0015633+K371.184265	0.088634253	0.079152387	0.08645618
HMDB0015633+K84.0807	N/A	0.089801013	0.090316444
HMDB0015633+K214.0167	N/A	0.081538253	N/A
HMDB0015633+K140.0166	0.123568266	0.189581661	0.092670988
HMDB0015633+K214.0168	N/A	0.081538253	N/A
HMDB0015633+K147.0314	0.092168516	N/A	N/A
HMDB0015633+K370.1795	N/A	N/A	0.074237835
HMDB0015633+K370.1799	N/A	N/A	0.074238425
HMDB0015633+K242.0486	0.084842449	N/A	N/A
HMDB0015633+K196.0063	N/A	N/A	N/A
HMDB0015633+K149.0471	N/A	0.103639013	N/A
HMDB0015633+K242.0479	0.084977394	N/A	N/A
HMDB0015633+K372.179443	N/A	0.075056357	0.072683666
HMDB0015633+K372.17926	N/A	0.074890681	0.072686676
