Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		121.0663213	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na121.0639	100	1	1	Linear	TRUE	3	121.0614787		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1897237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1848	100	1	1	Linear	TRUE	3	246.1798763		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1306225	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na201.1266	100	1	1	Linear	TRUE	3	201.1225775		0		TRUE
TRUE	TRUE	0.1	TRUE		131.0876217	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na131.085	100	1	1	Linear	TRUE	3	131.0823783		0		TRUE
TRUE	TRUE	0.1	TRUE		81.0715214	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na81.0699	100	1	1	Linear	TRUE	3	81.0682786		0		TRUE
TRUE	TRUE	0.1	TRUE		262.1866436	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na262.1814	100	1	1	Linear	TRUE	3	262.1761564		0		TRUE
TRUE	TRUE	0.1	TRUE		119.052481	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na119.0501	100	1	1	Linear	TRUE	3	119.047719		0		TRUE
TRUE	TRUE	0.1	TRUE		204.1195823	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na204.1155	100	1	1	Linear	TRUE	3	204.1114177		0		TRUE
TRUE	TRUE	0.1	TRUE		262.1864436	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na262.1812	100	1	1	Linear	TRUE	3	262.1759564		0		TRUE
TRUE	TRUE	0.1	TRUE		185.1008019	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na185.0971	100	1	1	Linear	TRUE	3	185.0933981		0		TRUE
